GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHRA,AIANHHTA,AIANHHA,AITSA,ANRCA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,VTDA,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7S001,H7S002,H7S003,H7S004,H7S005,H7S006,H7S007,H7S008,H7S009,H7S010,H7S011,H7S012,H7S013,H7S014,H7S015,H7S016,H7S017,H7S018,H7S019,H7S020,H7S021,H7S022,H7S023,H7S024,H7S025,H7S026,H7S027,H7S028,H7S029,H7S030,H7S031,H7S032,H7S033,H7S034,H7S035,H7S036,H7S037,H7S038,H7S039,H7S040,H7S041,H7S042,H7S043,H7S044,H7S045,H7S046,H7S047,H7S048,H7S049,H7S050,H7S051,H7S052,H7S053,H7S054,H7S055,H7S056,H7S057,H7S058,H7S059,H7S060,H7S061,H7S062,H7S063,H7S064,H7S065,H7S066,H7S067,H7S068,H7S069,H7S070,H7S071
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Block Code,Consolidated City Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Combined Statistical Area Code,New England City and Town Area Code,NECTA Division Code,Combined New England City and Town Area Code,Congressional District (111th Congress) Code,State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,Voting District/Remainder Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,School Attendance Area Code,Total,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races,Population of two races,Population of Two Races: White; Black or African American,Population of Two Races: White; American Indian and Alaska Native,Population of Two Races: White; Asian,Population of Two Races: White; Native Hawaiian and Other Pacific Islander,Population of Two Races: White; some other race,Population of Two Races: Black or African American; American Indian and Alaska Native,Population of Two Races: Black or African American; Asian,Population of Two Races: Black or African American; Native Hawaiian and Other Pacific Islander,Population of Two Races: Black or African American; some other race,Population of Two Races: American Indian and Alaska Native; Asian,Population of Two Races: American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Two Races: American Indian and Alaska Native; some other race,Population of Two Races: Asian; Native Hawaiian and Other Pacific Islander,Population of Two Races: Asian; some other race,Population of Two Races: Native Hawaiian and Other Pacific Islander; some other race,Population of three races,Population of Three Races: White; Black or African American; American Indian and Alaska Native,Population of Three Races: White; Black or African American; Asian,Population of Three Races: White; Black or African American; Native Hawaiian and Other Pacific Islander,Population of Three Races: White; Black or African American; some other race,Population of Three Races: White; American Indian and Alaska Native; Asian,Population of Three Races: White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Three Races: White; American Indian and Alaska Native; some other race,Population of Three Races: White; Asian; Native Hawaiian and Other Pacific Islander,Population of Three Races: White; Asian; some other race,Population of Three Races: White; Native Hawaiian and Other Pacific Islander; some other race,Population of Three Races: Black or African American; American Indian and Alaska Native; Asian,Population of Three Races: Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Three Races: Black or African American; American Indian and Alaska Native; some other race,Population of Three Races: Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Population of Three Races: Black or African American; Asian; some other race,Population of Three Races: Black or African American; Native Hawaiian and Other Pacific Islander; some other race,Population of Three Races: American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Three Races: American Indian and Alaska Native; Asian; some other race,Population of Three Races: American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Three Races: Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of four races,Population of Four Races: White; Black or African American; American Indian and Alaska Native; Asian,Population of Four Races: White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Four Races: White; Black or African American; American Indian and Alaska Native; some other race,Population of Four Races: White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Population of Four Races: White; Black or African American; Asian; some other race,Population of Four Races: White; Black or African American; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Four Races: White; American Indian and Alaska Native; Asian; some other race,Population of Four Races: White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: White; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Four Races: Black or African American; American Indian and Alaska Native; Asian; some other race,Population of Four Races: Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: Black or African American; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of five races,Population of Five Races: White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Five Races: White; Black or African American; American Indian and Alaska Native; Asian; some other race,Population of Five Races: White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Five Races: White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Five Races: White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Five Races: Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of six races,Population of Six Races: White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race
"G0100010","2010","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,,"388",,,,,,,,,,,,"Autauga County",,39958,39530,31910,6767,180,346,23,304,428,404,46,197,83,6,23,16,12,6,6,0,0,1,3,4,1,22,11,2,1,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100030","2010","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,,"380",,,,,,,,,,,,"Baldwin County",,140367,138905,122238,12272,923,1002,70,2400,1462,1398,117,787,161,17,174,49,19,5,16,9,0,10,11,12,11,60,25,2,1,3,14,1,5,4,1,0,1,0,0,2,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"G0100050","2010","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,,"999",,,,,,,,,,,,"Barbour County",,21442,21275,10855,9647,86,80,24,583,167,163,26,36,2,1,26,49,1,4,3,0,1,2,1,5,6,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"G0100070","2010","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,,"142",,,,,,,,,,,,"Bibb County",,17714,17584,13403,3975,47,14,11,134,130,128,17,65,13,2,7,6,10,5,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100090","2010","3","6","Alabama","01","Blount County","009",,,,,,,,,,,,"142",,,,,,,,,,,,"Blount County",,43216,42810,40515,549,227,91,23,1405,406,394,14,263,34,6,54,6,2,0,3,3,0,0,3,6,0,12,9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100110","2010","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,,"999",,,,,,,,,,,,"Bullock County",,8484,8432,2164,5838,21,17,31,361,52,49,7,18,0,0,3,6,0,2,5,0,0,3,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100130","2010","3","6","Alabama","01","Butler County","013",,,,,,,,,,,,"999",,,,,,,,,,,,"Butler County",,15891,15811,9109,6504,44,119,3,32,80,76,11,33,4,1,11,9,3,2,1,0,0,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100150","2010","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,,"999",,,,,,,,,,,,"Calhoun County",,91446,90441,70313,17746,451,665,70,1196,1005,939,137,409,141,27,72,52,33,9,19,7,2,4,14,10,3,62,28,1,1,3,4,2,1,12,3,1,1,0,1,1,2,0,1,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"G0100170","2010","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,,"122",,,,,,,,,,,,"Chambers County",,26512,26332,16182,9798,58,138,6,150,180,173,36,82,18,0,15,7,4,0,9,0,0,0,0,1,1,6,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100190","2010","3","6","Alabama","01","Cherokee County","019",,,,,,,,,,,,"999",,,,,,,,,,,,"Cherokee County",,20423,20216,19090,909,105,35,1,76,207,202,11,154,12,8,9,7,0,0,0,0,0,0,0,1,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100210","2010","3","6","Alabama","01","Chilton County","021",,,,,,,,,,,,"142",,,,,,,,,,,,"Chilton County",,32683,32442,28046,2991,114,97,42,1152,241,234,22,106,31,4,44,9,4,2,3,0,0,7,0,0,2,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100230","2010","3","6","Alabama","01","Choctaw County","023",,,,,,,,,,,,"999",,,,,,,,,,,,"Choctaw County",,10718,10685,6083,4562,16,9,0,15,33,30,8,7,3,0,0,9,2,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100250","2010","3","6","Alabama","01","Clarke County","025",,,,,,,,,,,,"999",,,,,,,,,,,,"Clarke County",,19444,19351,11056,8123,69,54,2,47,93,83,12,31,8,1,9,14,2,2,3,0,0,0,0,1,0,10,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100270","2010","3","6","Alabama","01","Clay County","027",,,,,,,,,,,,"999",,,,,,,,,,,,"Clay County",,10788,10683,8966,1528,46,19,0,124,105,101,8,68,2,1,9,9,0,2,1,1,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100290","2010","3","6","Alabama","01","Cleburne County","029",,,,,,,,,,,,"999",,,,,,,,,,,,"Cleburne County",,11421,11356,10820,379,41,16,9,91,65,63,2,44,10,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"G0100310","2010","3","6","Alabama","01","Coffee County","031",,,,,,,,,,,,"222",,,,,,,,,,,,"Coffee County",,37864,37257,29045,6090,470,526,74,1052,607,559,63,273,108,11,42,22,10,1,9,4,1,3,8,2,2,46,23,2,3,2,4,0,2,5,0,1,1,0,0,0,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100330","2010","3","6","Alabama","01","Colbert County","033",,,,,,,,,,,,"999",,,,,,,,,,,,"Colbert County",,42394,41986,34706,6598,204,166,10,302,408,395,48,258,21,6,33,17,7,0,3,0,0,1,0,1,0,12,4,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100350","2010","3","6","Alabama","01","Conecuh County","035",,,,,,,,,,,,"999",,,,,,,,,,,,"Conecuh County",,10186,10112,5578,4410,34,17,0,73,74,68,11,34,3,0,5,7,5,0,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
"G0100370","2010","3","6","Alabama","01","Coosa County","037",,,,,,,,,,,,"388",,,,,,,,,,,,"Coosa County",,9169,9100,6216,2734,33,14,9,94,69,67,9,36,4,1,7,6,0,1,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100390","2010","3","6","Alabama","01","Covington County","039",,,,,,,,,,,,"999",,,,,,,,,,,,"Covington County",,29242,28999,25296,3335,161,116,1,90,243,234,18,163,20,1,13,10,0,0,2,2,1,2,0,2,0,9,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100410","2010","3","6","Alabama","01","Crenshaw County","041",,,,,,,,,,,,"999",,,,,,,,,,,,"Crenshaw County",,10598,10499,7835,2405,44,135,5,75,99,96,12,58,6,0,4,8,2,0,1,1,0,2,0,2,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100430","2010","3","6","Alabama","01","Cullman County","043",,,,,,,,,,,,"142",,,,,,,,,,,,"Cullman County",,61765,61205,58901,655,320,257,17,1055,560,538,27,405,39,15,36,2,1,1,1,2,1,1,1,0,6,20,9,2,0,0,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"G0100450","2010","3","6","Alabama","01","Dale County","045",,,,,,,,,,,,"222",,,,,,,,,,,,"Dale County",,37774,37040,28954,6743,283,453,37,570,734,666,88,265,137,8,61,46,13,2,21,4,0,1,11,3,6,62,30,7,0,1,8,3,4,4,2,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
"G0100470","2010","3","6","Alabama","01","Dallas County","047",,,,,,,,,,,,"999",,,,,,,,,,,,"Dallas County",,32225,32074,10506,21322,70,118,11,47,151,134,33,28,3,1,5,23,13,12,15,1,0,0,0,0,0,16,11,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"G0100490","2010","3","6","Alabama","01","DeKalb County","049",,,,,,,,,,,,"999",,,,,,,,,,,,"DeKalb County",,52743,51765,46173,796,660,144,83,3909,978,947,30,745,43,10,82,1,1,0,3,4,3,7,3,5,10,30,8,4,0,0,1,0,6,4,1,0,0,0,0,0,0,0,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100510","2010","3","6","Alabama","01","Elmore County","051",,,,,,,,,,,,"388",,,,,,,,,,,,"Elmore County",,60596,59988,46838,11866,227,402,42,613,608,575,69,254,112,12,48,33,11,0,12,0,0,2,7,8,7,32,25,0,0,0,1,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"G0100530","2010","3","6","Alabama","01","Escambia County","053",,,,,,,,,,,,"999",,,,,,,,,,,,"Escambia County",,29640,29351,18870,9203,957,71,7,243,289,279,26,159,19,2,14,34,10,1,6,1,2,3,0,1,1,10,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100550","2010","3","6","Alabama","01","Etowah County","055",,,,,,,,,,,,"999",,,,,,,,,,,,"Etowah County",,80444,79646,66048,11493,346,499,97,1163,798,764,98,447,68,17,67,20,9,2,15,4,0,8,2,6,1,34,11,0,1,2,9,1,5,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100570","2010","3","6","Alabama","01","Fayette County","057",,,,,,,,,,,,"999",,,,,,,,,,,,"Fayette County",,13404,13314,11673,1507,44,27,0,63,90,88,16,54,3,2,11,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100590","2010","3","6","Alabama","01","Franklin County","059",,,,,,,,,,,,"999",,,,,,,,,,,,"Franklin County",,23837,23562,20401,925,147,45,10,2034,275,266,17,141,12,3,66,3,1,0,7,0,0,15,0,1,0,8,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"G0100610","2010","3","6","Alabama","01","Geneva County","061",,,,,,,,,,,,"222",,,,,,,,,,,,"Geneva County",,20799,20591,18202,1901,175,55,4,254,208,192,13,127,12,1,16,16,0,1,2,1,0,1,2,0,0,16,8,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100630","2010","3","6","Alabama","01","Greene County","063",,,,,,,,,,,,"999",,,,,,,,,,,,"Greene County",,6851,6831,1357,5427,17,13,0,17,20,19,4,5,2,0,1,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100650","2010","3","6","Alabama","01","Hale County","065",,,,,,,,,,,,"999",,,,,,,,,,,,"Hale County",,11845,11784,5013,6699,15,29,1,27,61,54,4,22,5,0,11,3,6,2,1,0,0,0,0,0,0,7,2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100670","2010","3","6","Alabama","01","Henry County","067",,,,,,,,,,,,"222",,,,,,,,,,,,"Henry County",,13384,13308,9391,3713,44,36,2,122,76,71,10,36,7,2,4,9,2,0,1,0,0,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100690","2010","3","6","Alabama","01","Houston County","069",,,,,,,,,,,,"222",,,,,,,,,,,,"Houston County",,76621,75767,55679,18237,351,622,39,839,854,782,111,361,80,11,84,62,28,5,16,3,3,4,7,7,0,64,33,1,0,3,4,0,2,4,2,0,1,1,3,8,1,0,1,0,0,0,6,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"G0100710","2010","3","6","Alabama","01","Jackson County","071",,,,,,,,,,,,"999",,,,,,,,,,,,"Jackson County",,41242,40381,37853,1321,577,138,37,455,861,857,31,729,30,4,27,20,0,0,2,2,1,6,2,2,1,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100730","2010","3","6","Alabama","01","Jefferson County","073",,,,,,,,,,,,"142",,,,,,,,,,,,"Jefferson County",,503938,499863,280999,200810,1344,7042,183,9485,4075,3789,637,1211,599,40,377,388,156,36,131,27,3,28,24,102,30,258,152,7,1,23,18,2,12,9,8,4,3,0,1,4,5,1,0,4,0,4,24,10,6,4,0,1,0,1,0,0,1,0,0,0,1,0,4,3,1,0,0,0,0,0,0
"G0100750","2010","3","6","Alabama","01","Lamar County","075",,,,,,,,,,,,"999",,,,,,,,,,,,"Lamar County",,11337,11242,9944,1217,22,4,1,54,95,90,8,54,7,1,5,9,0,0,2,1,0,0,1,2,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"G0100770","2010","3","6","Alabama","01","Lauderdale County","077",,,,,,,,,,,,"999",,,,,,,,,,,,"Lauderdale County",,72727,72065,63737,6880,265,576,26,581,662,627,101,330,55,5,62,38,6,4,8,2,0,2,7,6,1,29,9,2,0,0,5,0,3,4,4,0,2,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"G0100790","2010","3","6","Alabama","01","Lawrence County","079",,,,,,,,,,,,"290",,,,,,,,,,,,"Lawrence County",,26375,25442,20866,3059,1337,34,6,140,933,916,23,825,19,4,11,18,1,1,2,7,0,4,0,0,1,13,8,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"G0100810","2010","3","6","Alabama","01","Lee County","081",,,,,,,,,,,,"194",,,,,,,,,,,,"Lee County",,108656,107395,79707,23150,318,2841,82,1297,1261,1178,185,335,289,24,125,60,41,6,37,4,5,8,24,32,3,74,31,1,0,10,8,0,1,7,1,0,7,0,0,4,4,0,0,0,0,0,8,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"G0100830","2010","3","6","Alabama","01","Limestone County","083",,,,,,,,,,,,"290",,,,,,,,,,,,"Limestone County",,62923,62165,51331,8059,406,628,24,1717,758,722,89,368,100,15,69,27,14,0,13,2,0,3,2,14,6,36,24,1,0,0,0,1,2,2,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100850","2010","3","6","Alabama","01","Lowndes County","085",,,,,,,,,,,,"388",,,,,,,,,,,,"Lowndes County",,8567,8529,2339,6144,18,12,0,16,38,31,7,10,1,0,0,2,7,1,1,2,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100870","2010","3","6","Alabama","01","Macon County","087",,,,,,,,,,,,"194",,,,,,,,,,,,"Macon County",,17032,16877,2747,13985,28,65,2,50,155,120,40,16,6,2,1,35,13,4,3,0,0,0,0,0,0,30,22,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100890","2010","3","6","Alabama","01","Madison County","089",,,,,,,,,,,,"290",,,,,,,,,,,,"Madison County",,255321,250918,178536,59463,1875,6308,255,4481,4403,4039,612,1556,784,43,257,307,126,32,126,26,9,20,36,89,16,338,183,19,5,20,26,0,8,27,10,5,14,2,6,2,5,2,3,0,0,1,23,12,2,1,0,2,0,4,0,0,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0
"G0100910","2010","3","6","Alabama","01","Marengo County","091",,,,,,,,,,,,"999",,,,,,,,,,,,"Marengo County",,15836,15751,7666,7924,21,42,8,90,85,79,10,24,7,2,8,15,3,3,5,1,0,1,0,0,0,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100930","2010","3","6","Alabama","01","Marion County","093",,,,,,,,,,,,"999",,,,,,,,,,,,"Marion County",,24111,23920,22661,944,83,49,8,175,191,183,15,123,13,3,24,3,0,1,0,0,0,1,0,0,0,8,3,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100950","2010","3","6","Alabama","01","Marshall County","095",,,,,,,,,,,,"999",,,,,,,,,,,,"Marshall County",,69760,68946,62609,1089,542,362,57,4287,814,781,74,473,58,14,104,5,0,0,5,4,3,16,5,8,12,18,5,0,0,0,3,0,6,2,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,5,4,1,0,0,0,0,1,1
"G0100970","2010","3","6","Alabama","01","Mobile County","097",,,,,,,,,,,,"380",,,,,,,,,,,,"Mobile County",,309411,306134,195148,99886,2671,5626,152,2651,3277,3013,428,1131,428,44,266,312,97,24,80,28,3,45,34,79,14,243,142,6,3,10,11,1,5,21,7,2,6,2,9,11,3,3,1,0,0,0,16,3,0,3,0,0,1,4,0,1,0,3,0,0,1,0,5,5,0,0,0,0,0,0,0
"G0100990","2010","3","6","Alabama","01","Monroe County","099",,,,,,,,,,,,"999",,,,,,,,,,,,"Monroe County",,17227,17060,9902,6864,196,56,6,36,167,161,26,93,11,3,5,15,2,0,3,1,1,1,0,0,0,6,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101010","2010","3","6","Alabama","01","Montgomery County","101",,,,,,,,,,,,"388",,,,,,,,,,,,"Montgomery County",,173196,171658,74205,90359,440,3450,131,3073,1538,1401,268,296,208,19,127,214,110,21,57,10,1,7,18,34,11,123,73,10,5,11,3,0,2,4,4,0,2,2,2,4,1,0,0,0,0,0,12,7,2,0,0,0,0,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0
"G0101030","2010","3","6","Alabama","01","Morgan County","103",,,,,,,,,,,,"290",,,,,,,,,,,,"Morgan County",,90866,89666,74736,10119,770,518,58,3465,1200,1158,90,725,80,14,155,30,11,2,20,4,0,11,1,12,3,38,24,0,0,0,3,3,2,2,0,0,1,0,0,0,0,0,0,0,3,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
